schema_name,table_name,qualified_name,column_name,data_type,nullable,primary_key,foreign_key,description,business_meaning,validation_rules,example_value,lineage_source,lifecycle_stage
staging,accounts,staging.accounts,customer_id,TEXT,False,False,staging.customers(customer_id),Customer id column for this project table.,Captures customer id for staging.accounts.,,CUST_001,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,account_type,TEXT,False,False,,Account type column for this project table.,Captures account type for staging.accounts.,,current,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,account_status,TEXT,False,False,,Account status column for this project table.,Captures account status for staging.accounts.,Defaults to active when missing.,active,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,currency,TEXT,False,False,,Currency column for this project table.,Normalised currency code for transaction and account consistency.,Uppercase ISO-like currency code.,USD,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,opened_at,TIMESTAMPTZ,True,False,,Opened at column for this project table.,Captures opened at for staging.accounts.,Parsed as timestamp when supplied.,2024-01-01T00:00:00Z,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,closed_at,TIMESTAMPTZ,True,False,,Closed at column for this project table.,Captures closed at for staging.accounts.,,2025-01-01T00:00:00Z,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,home_country,TEXT,True,False,staging.countries(country_code),Home country column for this project table.,Captures home country for staging.accounts.,,AU,raw.accounts_raw.raw_payload,Cleaned and standardised relational data
staging,accounts,staging.accounts,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.accounts.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,accounts,staging.accounts,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.accounts.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,counterparty_id,TEXT,False,True,,Counterparty id column for this project table.,Captures counterparty id for staging.counterparties.,,CP_001,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,counterparty_type,TEXT,False,False,,Counterparty type column for this project table.,Captures counterparty type for staging.counterparties.,,merchant,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,counterparty_name,TEXT,True,False,,Counterparty name column for this project table.,Captures counterparty name for staging.counterparties.,,Example Merchant,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,country_code,TEXT,True,False,staging.countries(country_code),Country code column for this project table.,Normalised country code used for jurisdiction and cross-border analysis.,,NZ,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,institution_name,TEXT,True,False,,Institution name column for this project table.,Captures institution name for staging.counterparties.,,Example Bank,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,external_account_ref,TEXT,True,False,,External account ref column for this project table.,Captures external account ref for staging.counterparties.,,EXT-001,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,risk_score,"NUMERIC(5, 2)",False,False,,Risk score column for this project table.,Captures risk score for staging.counterparties.,Must be between 0 and 100.,35.00,raw.counterparties_raw.raw_payload,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.counterparties.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,counterparties,staging.counterparties,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.counterparties.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,devices,staging.devices,device_id,TEXT,False,True,,Device id column for this project table.,Captures device id for staging.devices.,,DEV_001,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,device_type,TEXT,True,False,,Device type column for this project table.,Captures device type for staging.devices.,,mobile,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,ip_address,TEXT,True,False,,Ip address column for this project table.,Captures ip address for staging.devices.,,203.0.113.10,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,ip_cluster,TEXT,True,False,,Ip cluster column for this project table.,Captures ip cluster for staging.devices.,,203.0.113.0/24,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,phone_hash,TEXT,True,False,,Phone hash column for this project table.,Captures phone hash for staging.devices.,,hash-phone,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,browser_fingerprint,TEXT,True,False,,Browser fingerprint column for this project table.,Captures browser fingerprint for staging.devices.,,browser-hash,raw.devices_raw.raw_payload,Cleaned and standardised relational data
staging,devices,staging.devices,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.devices.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,devices,staging.devices,updated_at,TIMESTAMPTZ,False,False,,Updated at column for this project table.,Captures updated at for staging.devices.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
staging,transactions,staging.transactions,transaction_id,TEXT,False,True,,Transaction id column for this project table.,Source transaction identifier used to trace payment activity.,,TXN_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,sender_account_id,TEXT,False,False,staging.accounts(account_id),Sender account id column for this project table.,Standardised account that initiated the transaction.,,ACC_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,receiver_account_id,TEXT,True,False,staging.accounts(account_id),Receiver account id column for this project table.,Standardised internal account that received the transaction when present.,,ACC_002,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,counterparty_id,TEXT,True,False,staging.counterparties(counterparty_id),Counterparty id column for this project table.,Captures counterparty id for staging.transactions.,,CP_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,device_id,TEXT,True,False,staging.devices(device_id),Device id column for this project table.,Captures device id for staging.transactions.,,DEV_001,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,transaction_timestamp,TIMESTAMPTZ,False,False,,Transaction timestamp column for this project table.,Parsed event time used for temporal rules and feature windows.,Parsed timestamp; must be populated.,2025-01-01T12:00:00Z,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,amount,"NUMERIC(18, 2)",False,False,,Amount column for this project table.,"Positive monetary transaction amount used by rules, features, and scoring.",Must be greater than 0.,125.50,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,currency,TEXT,False,False,,Currency column for this project table.,Normalised currency code for transaction and account consistency.,Uppercase currency code; defaults to USD.,USD,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,transaction_type,TEXT,False,False,,Transaction type column for this project table.,Captures transaction type for staging.transactions.,,transfer,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,channel,TEXT,True,False,,Channel column for this project table.,Captures channel for staging.transactions.,,online,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,origin_country,TEXT,True,False,staging.countries(country_code),Origin country column for this project table.,Captures origin country for staging.transactions.,,AU,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,destination_country,TEXT,True,False,staging.countries(country_code),Destination country column for this project table.,Captures destination country for staging.transactions.,,NZ,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,is_cross_border,BOOLEAN,False,False,,Is cross border column for this project table.,Flag recalculated from origin and destination countries for cross-border typologies.,Recalculated as origin_country != destination_country.,true,derived from staging.transactions origin and destination,Cleaned and standardised relational data
staging,transactions,staging.transactions,is_labelled_suspicious,BOOLEAN,True,False,,Is labelled suspicious column for this project table.,"Synthetic scenario label used for validation, rules, and later model evaluation.",Synthetic scenario label when supplied.,false,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,typology_label,TEXT,True,False,,Typology label column for this project table.,Suspicious activity typology label from synthetic scenario injection.,,structuring,raw.transactions_raw.raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,source_file,TEXT,True,False,,Source file column for this project table.,Captures source file for staging.transactions.,,transactions.csv,raw.transactions_raw.source_file or raw_payload,Cleaned and standardised relational data
staging,transactions,staging.transactions,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for staging.transactions.,,2025-01-01T12:00:00Z,,Cleaned and standardised relational data
mart,features_account_daily,mart.features_account_daily,feature_id,BIGSERIAL,False,True,,Feature id column for this project table.,Captures feature id for mart.features_account_daily.,,1,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,account_id,TEXT,False,False,staging.accounts(account_id),Account id column for this project table.,Captures account id for mart.features_account_daily.,,ACC_001,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,feature_date,DATE,False,False,,Feature date column for this project table.,Captures feature date for mart.features_account_daily.,,2025-01-01,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,feature_version,TEXT,False,False,,Feature version column for this project table.,Captures feature version for mart.features_account_daily.,Unique with account_id and feature_date.,features_v1,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,txn_count_1d,INTEGER,False,False,,Txn count 1d column for this project table.,Captures txn count 1d for mart.features_account_daily.,,3,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,txn_count_7d,INTEGER,False,False,,Txn count 7d column for this project table.,Captures txn count 7d for mart.features_account_daily.,,12,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,total_sent_7d,"NUMERIC(18, 2)",False,False,,Total sent 7d column for this project table.,Captures total sent 7d for mart.features_account_daily.,,1500.00,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,total_received_7d,"NUMERIC(18, 2)",False,False,,Total received 7d column for this project table.,Captures total received 7d for mart.features_account_daily.,,900.00,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,avg_txn_amount_30d,"NUMERIC(18, 2)",False,False,,Avg txn amount 30d column for this project table.,Captures avg txn amount 30d for mart.features_account_daily.,,125.00,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,max_txn_amount_30d,"NUMERIC(18, 2)",False,False,,Max txn amount 30d column for this project table.,Captures max txn amount 30d for mart.features_account_daily.,,999.00,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,unique_counterparties_7d,INTEGER,False,False,,Unique counterparties 7d column for this project table.,Captures unique counterparties 7d for mart.features_account_daily.,,5,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,in_out_ratio_7d,"NUMERIC(18, 6)",True,False,,In out ratio 7d column for this project table.,Captures in out ratio 7d for mart.features_account_daily.,,1.250000,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,retained_balance_proxy,"NUMERIC(18, 2)",True,False,,Retained balance proxy column for this project table.,Captures retained balance proxy for mart.features_account_daily.,,600.00,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,below_threshold_count_24h,INTEGER,False,False,,Below threshold count 24h column for this project table.,Captures below threshold count 24h for mart.features_account_daily.,,4,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,dormant_days_before_activity,INTEGER,True,False,,Dormant days before activity column for this project table.,Captures dormant days before activity for mart.features_account_daily.,,120,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,cross_border_ratio_30d,"NUMERIC(10, 6)",True,False,,Cross border ratio 30d column for this project table.,Captures cross border ratio 30d for mart.features_account_daily.,,0.150000,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,high_risk_country_exposure,"NUMERIC(10, 6)",True,False,,High risk country exposure column for this project table.,Captures high risk country exposure for mart.features_account_daily.,,0.050000,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,counterparty_entropy,"NUMERIC(10, 6)",True,False,,Counterparty entropy column for this project table.,Captures counterparty entropy for mart.features_account_daily.,,1.500000,,Analytics-ready feature data
mart,features_account_daily,mart.features_account_daily,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for mart.features_account_daily.,,2025-01-01T12:00:00Z,,Analytics-ready feature data
mart,graph_features,mart.graph_features,graph_feature_id,BIGSERIAL,False,True,,Graph feature id column for this project table.,Captures graph feature id for mart.graph_features.,,1,,Analytics-ready feature data
mart,graph_features,mart.graph_features,account_id,TEXT,False,False,staging.accounts(account_id),Account id column for this project table.,Captures account id for mart.graph_features.,,ACC_001,,Analytics-ready feature data
mart,graph_features,mart.graph_features,graph_build_version,TEXT,False,False,,Graph build version column for this project table.,Captures graph build version for mart.graph_features.,Unique with account_id and feature_date.,graph_v1,,Analytics-ready feature data
mart,graph_features,mart.graph_features,feature_date,DATE,False,False,,Feature date column for this project table.,Captures feature date for mart.graph_features.,,2025-01-01,,Analytics-ready feature data
mart,graph_features,mart.graph_features,degree_centrality,"NUMERIC(18, 10)",True,False,,Degree centrality column for this project table.,Captures degree centrality for mart.graph_features.,,0.1200000000,,Analytics-ready feature data
mart,graph_features,mart.graph_features,in_degree,INTEGER,True,False,,In degree column for this project table.,Captures in degree for mart.graph_features.,,5,,Analytics-ready feature data
mart,graph_features,mart.graph_features,out_degree,INTEGER,True,False,,Out degree column for this project table.,Captures out degree for mart.graph_features.,,4,,Analytics-ready feature data
mart,graph_features,mart.graph_features,pagerank_score,"NUMERIC(18, 10)",True,False,,Pagerank score column for this project table.,Captures pagerank score for mart.graph_features.,,0.0012000000,,Analytics-ready feature data
mart,graph_features,mart.graph_features,betweenness_centrality,"NUMERIC(18, 10)",True,False,,Betweenness centrality column for this project table.,Captures betweenness centrality for mart.graph_features.,,0.0300000000,,Analytics-ready feature data
mart,graph_features,mart.graph_features,clustering_coefficient,"NUMERIC(18, 10)",True,False,,Clustering coefficient column for this project table.,Captures clustering coefficient for mart.graph_features.,,0.5000000000,,Analytics-ready feature data
mart,graph_features,mart.graph_features,community_id,TEXT,True,False,,Community id column for this project table.,Captures community id for mart.graph_features.,,COMM_001,,Analytics-ready feature data
mart,graph_features,mart.graph_features,community_size,INTEGER,True,False,,Community size column for this project table.,Captures community size for mart.graph_features.,,10,,Analytics-ready feature data
mart,graph_features,mart.graph_features,cycle_count,INTEGER,False,False,,Cycle count column for this project table.,Captures cycle count for mart.graph_features.,,1,,Analytics-ready feature data
mart,graph_features,mart.graph_features,shortest_path_to_flagged,INTEGER,True,False,,Shortest path to flagged column for this project table.,Captures shortest path to flagged for mart.graph_features.,,2,,Analytics-ready feature data
mart,graph_features,mart.graph_features,shared_device_count,INTEGER,False,False,,Shared device count column for this project table.,Captures shared device count for mart.graph_features.,,3,,Analytics-ready feature data
mart,graph_features,mart.graph_features,fan_in_count,INTEGER,False,False,,Fan in count column for this project table.,Captures fan in count for mart.graph_features.,,4,,Analytics-ready feature data
mart,graph_features,mart.graph_features,fan_out_count,INTEGER,False,False,,Fan out count column for this project table.,Captures fan out count for mart.graph_features.,,5,,Analytics-ready feature data
mart,graph_features,mart.graph_features,created_at,TIMESTAMPTZ,False,False,,Created at column for this project table.,Captures created at for mart.graph_features.,,2025-01-01T12:00:00Z,,Analytics-ready feature data
aml,alerts,aml.alerts,alert_id,TEXT,False,True,,Alert id column for this project table.,Captures alert id for aml.alerts.,,ALERT_001,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,account_id,TEXT,False,False,staging.accounts(account_id),Account id column for this project table.,Captures account id for aml.alerts.,,ACC_001,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,customer_id,TEXT,True,False,staging.customers(customer_id),Customer id column for this project table.,Captures customer id for aml.alerts.,,CUST_001,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,rule_name,TEXT,False,False,,Rule name column for this project table.,Captures rule name for aml.alerts.,,Structuring,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,typology,TEXT,False,False,,Typology column for this project table.,Captures typology for aml.alerts.,,structuring,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,severity,TEXT,False,False,,Severity column for this project table.,Captures severity for aml.alerts.,"Must be low, medium, high, or critical.",high,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,risk_score_rule,"NUMERIC(5, 2)",False,False,,Risk score rule column for this project table.,Captures risk score rule for aml.alerts.,Must be between 0 and 100.,85.00,,"AML alert, case, and investigation workflow data"
aml,alerts,aml.alerts,reason_code,TEXT,False,False,,Explanation code for why a rule or model created an alert.,Human-readable reason supporting alert transparency and review.,,STRUCTURING_BELOW_THRESHOLD,,"AML alert, case, and investigation workflow data"
